strawberry	arugula	rhubarb	beet	banana	cranberry	elderberry	raisin	watermelon	tomato	chestnut	pea	currant	nectarine	cabbage	okra	lettuce	pineapple	ginger	mulberry	artichoke	fig	kiwi	quince	asparagus	olive	kohlrabi	chickpea	potato	fennel	thyme	plantain	type
0	20	24	110	26	25	358	0	21	83	161	200	51	49	58	24	21	0	27	0	1	18	2	260	0	63	12	42	613	253	25	0	6
39	30	15	0	59	35	0	27	74	45	2	98	102	35	3	1	189	25	122	136	266	330	120	1	329	70	0	255	2	67	92	152	9
358	4	97	0	60	52	0	2	19	282	1	106	257	89	1	1	133	0	39	0	50	196	71	0	132	71	0	7	0	148	39	2	8
152	273	95	0	46	31	2	317	81	79	2	104	46	57	288	137	60	211	35	167	216	40	46	155	96	159	52	67	0	132	68	275	11
2	102	118	0	37	65	2	1	222	51	0	169	108	53	28	75	227	2	56	1	4	94	1	540	0	50	144	144	1	187	106	1	2
0	96	57	173	94	118	108	53	59	157	98	128	105	12	602	174	225	113	22	238	0	30	0	596	1	38	167	49	31	123	47	54	7
2	213	52	1	54	37	0	1	204	160	0	31	52	128	14	110	155	0	59	1	0	4	2	189	1	101	163	45	3	168	169	2	2
2	2	75	299	174	71	198	208	42	83	140	89	33	383	1	1	134	429	26	258	4	212	1	0	0	103	0	117	64	182	89	106	5
218	208	47	3	38	61	0	1	107	654	5	193	56	87	255	276	60	0	180	0	233	109	55	296	165	33	299	8	0	82	16	0	10
2	35	140	517	94	140	143	80	57	278	50	65	283	41	0	3	14	188	102	147	2	43	0	2	0	293	0	93	537	17	9	191	5
1	141	239	208	136	27	161	2	38	15	340	35	87	87	4	0	84	0	78	0	3	157	0	0	5	141	2	136	11	16	77	0	4
4	128	50	1	190	196	1	282	85	69	2	95	117	148	196	27	73	91	53	223	1	210	4	540	0	55	19	52	1	60	26	587	3
283	30	25	1	173	6	1	174	171	5	2	103	351	47	1	0	124	98	100	6	12	46	160	2	84	2	1	161	2	21	121	113	9
118	53	5	1	75	40	0	0	34	20	1	51	192	88	1	1	33	0	178	5	127	97	26	0	164	228	2	361	1	126	103	0	8
0	36	17	450	51	106	88	142	52	188	112	100	117	116	0	2	258	80	202	382	3	193	2	3	0	114	0	68	225	40	330	30	5
1	103	324	137	108	85	78	95	114	173	156	8	80	124	311	78	119	167	290	210	0	211	1	171	0	15	9	46	202	200	44	98	7
153	27	20	451	19	257	304	233	176	91	322	47	129	150	0	1	81	23	102	117	24	328	90	1	141	141	1	26	39	38	123	142	13
