asparagus	plantain	okra	elderberry	artichoke	raisin	potato	strawberry	ginger	rhubarb	kiwi	kohlrabi	quince	currant	mulberry	pineapple	banana	fig	chestnut	lettuce	thyme	cranberry	cabbage	beet	type
0	18	0	39	0	124	61	1	84	90	0	0	0	88	50	93	138	124	123	44	60	76	1	99	2
0	274	242	195	0	42	92	4	257	97	0	70	79	109	50	132	177	156	214	70	28	151	126	71	3
313	116	41	128	328	162	68	156	160	272	418	208	75	10	291	215	32	324	99	163	77	78	201	658	7
130	51	1	237	32	104	315	273	12	95	88	2	1	3	97	147	23	91	516	389	72	262	1	264	6
182	131	39	2	52	48	3	76	9	68	82	560	259	63	32	12	36	207	0	110	41	344	121	1	5
230	34	125	380	215	88	287	247	8	34	176	314	363	59	4	82	178	67	108	168	209	278	32	284	7
2	16	87	2	0	66	0	1	39	133	1	67	261	48	28	79	46	86	6	52	94	105	402	2	1
26	101	0	1	554	152	0	171	78	79	130	3	0	125	72	92	265	23	3	54	134	99	2	1	4
2	19	0	0	0	23	2	2	146	83	2	0	1	49	57	184	55	63	2	187	132	80	1	1	0
264	240	94	1	234	15	1	131	55	3	171	824	97	38	182	146	45	23	0	52	6	127	259	0	5
0	17	103	1	1	49	0	0	124	50	0	428	8	111	93	102	30	253	0	255	43	24	388	0	1
1	31	359	189	2	162	133	0	15	14	0	156	60	48	163	71	53	5	144	144	62	143	198	58	3
101	157	163	151	143	187	116	4	6	55	358	108	337	91	52	224	30	503	249	181	22	111	1092	243	7
0	16	450	2	3	20	2	0	153	37	0	197	300	147	163	58	203	70	3	85	96	40	171	1	1
164	158	0	82	239	326	79	290	171	52	141	5	0	329	121	153	141	128	128	202	77	126	1	34	6
216	23	1	1	134	86	4	271	46	44	111	2	4	34	15	26	134	129	0	25	88	192	0	0	4
2	97	2	2	1	244	0	1	116	283	1	2	2	61	51	76	109	17	0	50	29	51	2	0	0
2	16	437	167	3	122	56	0	76	78	1	61	209	49	163	231	64	58	79	80	45	47	102	103	3
153	178	161	1	188	76	2	183	39	89	398	185	43	76	29	71	112	175	2	136	32	40	74	2	5
1	143	1	1	1	169	1	0	16	255	0	0	0	57	111	28	133	74	2	128	9	296	3	1	0
0	91	226	216	2	162	147	2	102	44	0	14	178	248	7	79	23	62	458	43	18	101	70	31	3
249	157	258	118	112	72	280	353	77	17	34	139	337	306	38	205	228	215	87	74	18	129	17	7	7
1	80	2	36	0	216	100	2	93	40	0	0	1	99	71	240	191	8	13	20	84	20	0	198	2
1	32	0	90	1	15	273	0	11	189	1	0	0	65	68	15	321	140	152	44	33	100	0	637	2
0	18	0	1	1	53	1	1	25	74	1	1	1	306	99	205	51	91	0	109	132	27	2	0	0
3	68	549	89	1	198	108	1	14	85	2	53	307	10	180	213	59	52	788	113	77	82	327	156	3
122	10	101	0	150	87	3	108	45	124	155	275	47	52	74	49	55	71	0	119	155	101	234	2	5
226	193	0	1	202	139	0	223	21	97	193	0	3	290	176	101	59	197	3	454	126	131	2	0	4
45	25	2	186	189	75	59	352	37	95	110	1	1	129	34	195	69	65	77	168	45	147	8	167	6
461	34	1	1	309	115	3	32	33	113	333	0	4	46	121	131	41	43	0	143	194	111	0	0	4
180	74	1	259	51	161	22	233	47	96	152	2	0	104	74	142	90	38	60	27	235	253	0	109	6
4	192	1	531	0	185	314	2	76	43	2	0	1	45	60	15	93	85	59	38	56	180	1	77	2
120	11	0	403	81	198	24	117	141	56	468	5	1	218	214	196	54	160	192	90	46	141	3	320	6
363	8	1	0	92	46	0	247	234	469	45	0	0	70	34	30	174	31	2	80	56	96	4	0	4
0	38	499	1	1	37	0	0	156	27	1	291	188	28	39	223	39	5	1	90	94	118	278	0	1
246	32	66	138	186	63	173	86	90	30	200	162	103	49	96	53	102	8	268	58	43	106	341	370	7
0	5	0	259	4	134	260	1	122	110	1	0	2	13	63	167	155	56	100	237	59	66	1	117	2
2	117	76	114	1	343	383	3	134	186	0	435	148	195	30	98	151	156	820	92	26	113	235	10	3
73	40	1	3	413	19	5	90	20	43	76	1	3	82	97	16	120	54	1	57	67	175	2	2	4
66	117	184	2	109	117	1	40	17	25	168	60	436	183	140	27	9	272	1	71	179	172	131	1	5
